Year,StationID,Replicate,SampleDate,Matrix,Parameter,Field1,Qualifier,Result_Units,Result,MDL,RL,Class,latitude,longitude
2013,B13-8430,1,9/24/13,Sediment,Zinc,,,ug/g dw,247.1204188,0.61,2,METAL,34.24424,-119.26496
2013,B13-8431,1,9/23/13,Sediment,Zinc,,,ug/g dw,161,0.25,0.25,METAL,34.40453,-119.68904
2013,B13-9001,1,7/8/13,Sediment,Zinc,,,ug/g dw,60.4,0.25,0.25,METAL,32.51629,-117.30865
2013,B13-9002,1,7/8/13,Sediment,Zinc,,,ug/g dw,47.3,0.25,0.25,METAL,32.52183,-117.35475
2013,B13-9005,1,7/3/13,Sediment,Zinc,,,ug/g dw,29,0.25,0.25,METAL,32.53735,-117.15519
2013,B13-9007,1,7/15/13,Sediment,Zinc,,,ug/g dw,15.2,0.25,0.25,METAL,32.55148,-117.1995
2013,B13-9009,1,7/8/13,Sediment,Zinc,,,ug/g dw,75.8,0.25,0.25,METAL,32.55417,-117.41068
2013,B13-9011,1,7/15/13,Sediment,Zinc,,,ug/g dw,70,0.25,0.25,METAL,32.58574,-117.3407
2013,B13-9012,1,7/8/13,Sediment,Zinc,,,ug/g dw,22.8,0.25,0.25,METAL,32.58969,-117.26429
2013,B13-9019,1,7/11/13,Sediment,Zinc,,,ug/g dw,21.8,0.25,0.25,METAL,32.64409,-117.42795
2013,B13-9021,1,7/11/13,Sediment,Zinc,,,ug/g dw,63.1,0.25,0.25,METAL,32.66044,-117.41113
2013,B13-9022,1,7/11/13,Sediment,Zinc,,,ug/g dw,59.6,0.25,0.25,METAL,32.66065,-117.38945
2013,B13-9023,1,7/11/13,Sediment,Zinc,,,ug/g dw,35,0.25,0.25,METAL,32.66973,-117.42063
2013,B13-9025,1,7/10/13,Sediment,Zinc,,,ug/g dw,44.2,0.25,0.25,METAL,32.67264,-117.29913
2013,B13-9026,1,7/15/13,Sediment,Zinc,,,ug/g dw,68.7,0.25,0.25,METAL,32.6929,-117.39491
2013,B13-9028,1,7/15/13,Sediment,Zinc,,,ug/g dw,66.3,0.25,0.25,METAL,32.69552,-117.36628
2013,B13-9030,1,7/11/13,Sediment,Zinc,,,ug/g dw,74,0.25,0.25,METAL,32.70106,-117.43975
2013,B13-9033,1,7/15/13,Sediment,Zinc,,,ug/g dw,65.9,0.25,0.25,METAL,32.73757,-117.40812
2013,B13-9035,1,7/29/13,Sediment,Zinc,,,ug/g dw,73.6,0.25,0.25,METAL,32.74102,-117.42647
2013,B13-9036,1,7/16/13,Sediment,Zinc,,,ug/g dw,77,0.25,0.25,METAL,32.7592,-117.42252
2013,B13-9037,1,7/9/13,Sediment,Zinc,,,ug/g dw,37.8,0.25,0.25,METAL,32.76406,-117.31932
2013,B13-9040,1,7/16/13,Sediment,Zinc,,,ug/g dw,14.7,0.25,0.25,METAL,32.78106,-117.26935
2013,B13-9041,1,7/29/13,Sediment,Zinc,,,ug/g dw,33.7,0.25,0.25,METAL,32.78717,-117.55474
2013,B13-9047,1,7/29/13,Sediment,Zinc,,,ug/g dw,87.5,0.25,0.25,METAL,32.81508,-117.45188
2013,B13-9049,1,7/16/13,Sediment,Zinc,,,ug/g dw,43.7,0.25,0.25,METAL,32.82042,-117.33919
2013,B13-9055,1,7/16/13,Sediment,Zinc,,,ug/g dw,52.8,0.25,0.25,METAL,32.82917,-117.37806
2013,B13-9056,1,7/16/13,Sediment,Zinc,,,ug/g dw,34.6,0.25,0.25,METAL,32.83188,-117.35921
2013,B13-9057,1,7/29/13,Sediment,Zinc,,,ug/g dw,59.8,0.25,0.25,METAL,32.85103,-117.41079
2013,B13-9059,1,7/17/13,Sediment,Zinc,,,ug/g dw,15.7,0.25,0.25,METAL,32.85898,-117.2663
2013,B13-9060,1,7/29/13,Sediment,Zinc,,,ug/g dw,89.7,0.25,0.25,METAL,32.86319,-117.44713
2013,B13-9068,1,7/17/13,Sediment,Zinc,,,ug/g dw,65.1,0.25,0.25,METAL,32.88365,-117.28334
2013,B13-9069,1,7/24/13,Sediment,Zinc,,,ug/g dw,88.2,0.25,0.25,METAL,32.88862,-117.53744
